identifier,preferred
CHEMBL1077309,MNUNUJQYFJZRHQ-VZLLCJDWSA-N
CHEMBL1077310,MNUNUJQYFJZRHQ-MDQHOGMVSA-N
CHEMBL1077313,YYOHIHLNZZZABC-UHFFFAOYSA-N
CHEMBL1077342,FBTYYZZUMRUNGH-UHFFFAOYSA-N
CHEMBL1077380,CARTERIOSULFONIC ACID C
CHEMBL1077383,SALINOSPORAMIDE X7
CHEMBL1077389,SALINOSPORAMIDE X5
CHEMBL1077391,VVBYXJYBLBPAEN-UHFFFAOYSA-N
CHEMBL1077440,FLUSTRAMINE O
CHEMBL1077441,FLUSTRAMINE P
CHEMBL1077450,SCUTEHENANINE C
CHEMBL1077451,SCUTEHENANINE D
CHEMBL1077453,GUMMIFERAOSIDE C
CHEMBL107747,GEMOPATRILAT
CHEMBL1077479,ISOAPOPTOLIDIN
CHEMBL107751,BKQCTMOROFZQNH-HSZRJFAPSA-N
CHEMBL1077542,NORBATZELLADINE L
CHEMBL1077544,BATZELLADINE L
CHEMBL1077553,CASSIARIN C
CHEMBL1077557,EURYJANICIN C
CHEMBL1077558,EURYJANICIN D
CHEMBL1077559,DOMINICIN
CHEMBL1077563,VNRLQDGXGABKPC-METLCYJQSA-N
CHEMBL1077577,EVERNINIC ACID
CHEMBL1077602,BFYWJELXORKNFO-UHFFFAOYSA-N
CHEMBL1077603,VMYTXBKVYDESSJ-USOAJAOKSA-N
CHEMBL1077604,ROHITUKINE
CHEMBL1077606,DICHROSTACHINE C
CHEMBL1077607,DICHROSTACHINE D
CHEMBL1077608,DICHROSTACHINE E
CHEMBL1077622,DICHROSTACHINE G
CHEMBL1077623,DICHROSTACHINE H
CHEMBL1077624,DICHROSTACHINE L
